,0165_10,0165_11,0165_12,0165_13,0165_14,0165_15,0165_16,0165_17,0165_18,0165_19,0165_20,0165_21,0165_22,0165_23,0165_24,0165_25,0165_26,0165_27,0165_28,0165_29,0165_30,internetP,label
wv_0000029,67382,43363,784,11120,3394,7726,21059,8959,12100,684,221,463,1994,733,1261,3970,1690,2280,3752,3309,20710,0.643539817755,train
wi_0000106,43390,37846,505,6200,2385,3815,23543,9581,13962,1054,513,541,461,140,321,2920,1443,1477,3163,849,4695,0.872228624107,train
ga_0000088,43964,34711,108,5981,2706,3275,21612,7414,14198,633,252,381,440,290,150,3662,1440,2222,2275,986,8267,0.789532344646,train
wa_0000118,44445,38385,462,4466,1722,2744,21119,10814,10305,5174,2630,2544,635,265,370,5070,3193,1877,1459,702,5358,0.863651704354,train
ca_0000348,59803,41512,1654,13949,3083,10866,12398,3279,9119,333,176,157,5151,1723,3428,3745,1737,2008,4282,2304,15987,0.69414577864,train
ny_0000174,55977,43757,600,3839,1053,2786,34878,10787,24091,413,131,282,752,256,496,2408,1028,1380,867,2072,10148,0.781696053736,train
wi_0000077,57927,40578,1334,16854,5465,11389,8738,3645,5093,671,243,428,4649,1232,3417,4609,1575,3034,3723,1974,15375,0.700502356414,train
fl_0000228,42003,32579,203,7821,2087,5734,16988,6376,10612,1842,1224,618,369,129,240,3814,1981,1833,1542,2214,7210,0.775635073685,train
tx_0000270,49880,33590,269,6586,2887,3699,16530,7939,8591,1766,1045,721,1316,339,977,4429,1988,2441,2694,1334,14956,0.673416198877,train
ca_0000485,26645,19154,243,5187,2231,2956,7369,4074,3295,1009,460,549,420,201,219,1969,1064,905,2957,1019,6472,0.718859072997,train
ca_0000432,70300,61581,240,11446,5379,6067,34492,17313,17179,3107,1810,1297,954,926,28,9980,6552,3428,1362,1388,7331,0.875974395448,train
